,LeafNodeName,FullPath,common,female,male
128,dorsal_scapular_456transverse_scapular_deep_branch789_l,2_20_mAnatomy/Artery_system/BaABCDEFGck/Dorsal_scapular_456transverse_scapular_deep_branch789_L,True,True,True
129,dorsal_scapular_456transverse_scapular_deep_branch789_r,2_20_mAnatomy/Artery_system/BaABCDEFGck/Dorsal_scapular_456transverse_scapular_deep_branch789_R,True,True,True
130,lumbar_l_a,2_20_mAnatomy/Artery_system/BaABCDEFGck/Lumbar_L_A,True,True,True
131,lumbar_r_a,2_20_mAnatomy/Artery_system/BaABCDEFGck/Lumbar_R_A,True,True,True
132,suprascapular_l_a,2_20_mAnatomy/Artery_system/BaABCDEFGck/Suprascapular_L_A,True,True,True
133,suprascapular_r_a,2_20_mAnatomy/Artery_system/BaABCDEFGck/Suprascapular_R_A,True,True,True
134,thoracodorsal_l_a,2_20_mAnatomy/Artery_system/BaABCDEFGck/Thoracodorsal_L_A,True,True,True
135,thoracodorsal_r_a,2_20_mAnatomy/Artery_system/BaABCDEFGck/Thoracodorsal_R_A,True,True,True
136,accessory_meningeal_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Accessory_meningeal_L,True,True,True
137,accessory_meningeal_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Accessory_meningeal_R,True,True,True
138,angular_l_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Angular_L_A,True,True,True
139,angular_r_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Angular_R_A,True,True,True
140,anterior_auricular_l_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_auricular_L_A,True,True,True
141,anterior_auricular_r_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_auricular_R_A,True,True,True
142,anterior_cerebral_segment_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_cerebral_segment_L,True,True,True
143,anterior_cerebral_segment_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_cerebral_segment_R,True,True,True
144,anterior_communicating_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_communicating_L,True,True,True
145,anterior_communicating_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_communicating_R,True,True,True
146,anterior_deep_temporal_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_deep_temporal_L,True,True,True
147,anterior_deep_temporal_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_deep_temporal_R,True,True,True
148,anterior_inferior_cerebellar_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_inferior_cerebellar_L,True,True,True
149,anterior_inferior_cerebellar_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_inferior_cerebellar_R,True,True,True
150,anterior_meningeal_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_meningeal_L,True,True,True
151,anterior_meningeal_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_meningeal_R,True,True,True
152,anterior_temporal_branch_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_temporal_branch_L,True,True,True
153,anterior_temporal_branch_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anterior_temporal_branch_R,True,True,True
154,anteromedial_frontal_branch_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anteromedial_frontal_branch_L,True,True,True
155,anteromedial_frontal_branch_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Anteromedial_frontal_branch_R,True,True,True
156,artery_of_central_sulcus_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Artery_of_central_sulcus_L,True,True,True
157,artery_of_central_sulcus_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Artery_of_central_sulcus_R,True,True,True
158,artery_of_postcentral_sulcus_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Artery_of_postcentral_sulcus_L,True,True,True
159,artery_of_postcentral_sulcus_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Artery_of_postcentral_sulcus_R,True,True,True
160,artery_of_precentral_sulcus_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Artery_of_precentral_sulcus_L,True,True,True
161,artery_of_precentral_sulcus_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Artery_of_precentral_sulcus_R,True,True,True
162,ascending_cervical_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Ascending_cervical_L,True,True,True
163,ascending_cervical_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Ascending_cervical_R,True,True,True
164,basilar_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Basilar_L,True,True,True
165,basilar_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Basilar_R,True,True,True
166,buccal_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Buccal_L,True,True,True
167,buccal_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Buccal_R,True,True,True
168,calcarine_branch_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Calcarine_branch_L,True,True,True
169,calcarine_branch_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Calcarine_branch_R,True,True,True
170,callosomarginal_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Callosomarginal_L,True,True,True
171,callosomarginal_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Callosomarginal_R,True,True,True
172,central_retinal_l_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Central_retinal_L_A,True,True,True
173,central_retinal_r_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Central_retinal_R_A,True,True,True
174,cingular_branch_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Cingular_branch_L,True,True,True
175,cingular_branch_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Cingular_branch_R,True,True,True
176,common_carotid_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Common_carotid_L,True,True,True
177,common_carotid_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Common_carotid_R,True,True,True
178,deep_cervical_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Deep_cervical_L,True,True,True
179,deep_cervical_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Deep_cervical_R,True,True,True
180,descending_palatine_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Descending_palatine_L,True,True,True
181,descending_palatine_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Descending_palatine_R,True,True,True
182,dorsal_callosal_branch_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Dorsal_callosal_branch_L,True,True,True
183,dorsal_callosal_branch_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Dorsal_callosal_branch_R,True,True,True
184,dorsal_nasal_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Dorsal_nasal_L,True,True,True
185,dorsal_nasal_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Dorsal_nasal_R,True,True,True
186,external_carotid_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/External_carotid_L,True,True,True
187,external_carotid_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/External_carotid_R,True,True,True
188,facial_l_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Facial_L_A,True,True,True
189,facial_r_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Facial_R_A,True,True,True
